,Date,Time,Latitude,Longitude,Depth,Magnitude,MagBin,Continent,Country,State
641,03/11/2011,05:46:24,38.297,142.373,29.0,9.1,Very High,No continent,No country,No state
541,12/26/2004,00:58:53,3.295,95.98200000000001,30.0,9.1,Very High,Asia,Indonesia,Aceh
615,02/27/2010,06:34:12,-36.122,-72.898,22.9,8.8,Very High,No continent,No country,No state
1,02/04/1965,05:01:22,51.251000000000005,178.715,30.3,8.7,Very High,No continent,No country,No state
545,03/28/2005,16:09:37,2.085,97.10799999999999,30.0,8.6,Very High,Asia,Indonesia,Aceh
660,04/11/2012,08:38:37,2.327,93.06299999999999,20.0,8.6,Very High,No continent,No country,No state
573,09/12/2007,11:10:27,-4.438,101.367,34.0,8.4,Very High,Asia,Indonesia,Bengkulu
491,06/23/2001,20:33:14,-16.265,-73.641,33.0,8.4,Very High,No continent,No country,No state
714,09/16/2015,22:54:33,-31.5729,-71.6744,22.44,8.3,High,No continent,No country,No state
563,11/15/2006,11:14:14,46.592,153.266,10.0,8.3,High,No continent,No country,No state
521,09/25/2003,19:50:06,41.815,143.91,27.0,8.3,High,No continent,No country,No state
383,10/04/1994,13:22:56,43.773,147.321,14.0,8.3,High,No continent,No country,No state
681,05/24/2013,05:44:49,54.891999999999996,153.221,598.1,8.3,High,No continent,No country,No state
691,04/01/2014,23:46:47,-19.6097,-70.7691,25.0,8.2,High,No continent,No country,No state
43,05/16/1968,00:49:02,40.86,143.435,29.9,8.2,High,No continent,No country,No state
